GEO_ID,FIPS,Census_Tract_Name,Total population,Area_km2,Population Density
1400000U,06037119004,1190.04,2759,0.8495258706067689,3247.693914288214
1400000U,06037119201,1192.01,3976,0.952164411538133,4175.749431316322
1400000U,06037119202,1192.02,4674,0.9697140018207624,4819.977840088898
1400000U,06037119310,1193.1,3767,0.4287979607844655,8785.023121631577
1400000U,06037119320,1193.2,4292,0.49662112500844685,8642.403200079334
1400000U,06037119340,1193.4,3748,0.12214943700526257,30683.727177870864
1400000U,06037119341,1193.41,2744,0.32636764362051723,8407.696209
1400000U,06037119342,1193.42,2791,0.2190987352216147,12738.549116575
1400000U,06037119400,1194,4650,1.1215587340277928,4146.015593227747
1400000U,06037119700,1197,4414,1.3103451829490078,3368.578033817041
1400000U,06037119801,1198.01,2702,0.6123125135382186,4412.779324705651
1400000U,06037119802,1198.02,3094,0.6297582644842917,4912.996262992551
1400000U,06037119900,1199,4503,1.05220464956655,4279.585726840293
1400000U,06037120010,1200.1,2643,0.5656006645256952,4672.9082297249115
1400000U,06037120020,1200.2,3973,0.5330584633139039,7453.216248178028
1400000U,06037120030,1200.3,2576,0.3777072386612788,6820.09698604191
1400000U,06037120103,1201.03,2879,0.1384712268507969,20791.322973559912
1400000U,06037120104,1201.04,2603,0.45388828086980015,5734.891403258508
1400000U,06037120105,1201.05,2755,0.5509195257630146,5000.7303629044
1400000U,06037120106,1201.06,4282,0.20629199148782398,20756.986100707345
1400000U,06037120107,1201.07,4130,0.20728333847703242,19924.418577702596
1400000U,06037120108,1201.08,4558,0.3869339308947728,11779.788837489039
1400000U,06037120300,1203,5469,1.7186596336229802,3182.13094262952
1400000U,06037120400,1204,5820,1.06582319196875,5460.567985248573
1400000U,06037121010,1210.1,5213,2.0372381380972904,2558.8564746135967
1400000U,06037121020,1210.2,3481,0.8245308775224405,4221.794592410835
1400000U,06037121101,1211.01,3345,0.4722509892649811,7083.097920464308
1400000U,06037121102,1211.02,2254,7.539890839978036,298.9433199813495
1400000U,06037121210,1212.1,3168,2.0270786787014172,1562.8401764994526
1400000U,06037121221,1212.21,2047,0.5042663830670194,4059.3624099029894
1400000U,06037121222,1212.22,5111,1.33491476845779,3828.708858996798
1400000U,06037121600,1216,2604,1.1394972830990737,2285.218261265126
1400000U,06037121801,1218.01,4302,0.48568658615662413,8857.563957
1400000U,06037121802,1218.02,3192,0.9506951540624837,3357.5431476220697
1400000U,06037121900,1219,3329,1.6875290325764973,1972.7068013267458
1400000U,06037122000,1220,5326,3.265103327443034,1631.188806564016
1400000U,06037122120,1221.2,4387,0.7198249920925692,6094.536933549306
1400000U,06037122121,1221.21,2726,0.4119602066739735,6617.1439761349675
1400000U,06037122122,1221.22,2562,1.0326600891024749,2480.971257664014
1400000U,06037122200,1222,3625,1.7048499743880583,2126.286802040258
1400000U,06037122410,1224.1,4083,0.7069937192715599,5775.157386414771
1400000U,06037122420,1224.2,5328,0.8627240552439285,6175.786994247598
1400000U,06037123010,1230.1,3828,1.015838273105431,3768.316376087853
1400000U,06037123020,1230.2,2804,0.5656480192872093,4957.146324906093
1400000U,06037123103,1231.03,3893,0.9023338241167621,4314.367804853833
1400000U,06037123104,1231.04,4700,0.7816949850360422,6012.575352243425
1400000U,06037123203,1232.03,2926,0.5876080292400435,4979.509901837473
1400000U,06037123204,1232.04,3333,0.32420726009612955,10280.460712112814
1400000U,06037123205,1232.05,2834,0.7577355216021915,3740.0912577090985
1400000U,06037123206,1232.06,2470,0.6028501233555467,4097.204104814046
1400000U,06037123301,1233.01,3956,1.3034881339379774,3034.933649950844
1400000U,06037123303,1233.03,2842,0.6334077632940082,4486.8411230394595
1400000U,06037123304,1233.04,4435,0.8790836862606639,5045.025939299417
1400000U,06037123410,1234.1,3469,0.49711545562246967,6978.258190858794
1400000U,06037123420,1234.2,4453,0.7867165721387068,5660.234139843296
1400000U,06037123510,1235.1,4652,0.7984627441622479,5826.195441192322
1400000U,06037123520,1235.2,2488,0.5108366349708845,4870.441604372806
1400000U,06037123601,1236.01,5498,1.5324562973279292,3587.7042690134786
1400000U,06037123602,1236.02,3099,0.927750429081961,3340.337986226059
